W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
R,W,W,M,W,W,W,B,W,W,W,W,M,W,W,R
R,W,W,M,R,M,R,M,M,R,M,R,M,W,W,R
R,W,W,W,W,M,W,M,M,W,M,W,W,W,W,R
R,M,M,W,W,M,W,M,M,W,M,W,W,M,M,R
R,W,R,W,W,M,M,M,M,M,M,W,W,R,W,R
R,W,R,W,W,R,W,W,W,W,R,W,W,R,W,R
R,1,M,M,M,W,W,M,M,W,W,M,M,M,W,R
R,W,M,M,M,W,W,M,M,W,W,M,M,M,B,R
R,W,R,W,W,R,W,W,W,W,R,W,W,R,W,R
R,W,R,W,W,M,M,M,M,M,M,W,W,R,W,R
R,M,M,W,W,M,W,M,M,W,M,W,W,M,M,R
R,W,W,W,W,M,W,M,M,W,M,W,W,W,W,R
R,W,W,M,R,M,R,M,M,R,M,R,M,W,W,R
R,W,W,M,W,W,W,W,B,W,W,W,M,W,W,R
R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
