W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
H,W,W,S,W,W,W,2,W,W,W,W,S,W,W,H
H,W,W,S,H,S,H,S,S,H,S,H,S,W,W,H
H,W,W,W,W,S,W,S,S,W,S,W,W,W,W,H
H,S,S,W,W,S,W,S,S,W,S,W,W,S,S,H
H,W,H,W,W,S,S,S,S,S,S,W,W,H,W,H
H,W,H,W,W,H,W,W,W,W,H,W,W,H,W,H
H,1,S,S,S,W,W,S,S,W,W,S,S,S,W,H
H,W,S,S,S,W,W,S,S,W,W,S,S,S,4,H
H,W,H,W,W,H,W,W,W,W,H,W,W,H,W,H
H,W,H,W,W,S,S,S,S,S,S,W,W,H,W,H
H,S,S,W,W,S,W,S,S,W,S,W,W,S,S,H
H,W,W,W,W,S,W,S,S,W,S,W,W,W,W,H
H,W,W,S,H,S,H,S,S,H,S,H,S,W,W,H
H,W,W,S,W,W,W,W,3,W,W,W,S,W,W,H
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
